"","radiation","nightlight_450","nightlight_4950","nightlight_3150","nightlight_900","elevation","industry_1000","industry_100","industry_25","industry_3000","industry_300","industry_5000","industry_500","industry_50","population_1000","population_3000","population_5000","road_class_1_1000","road_class_1_100","road_class_1_25","road_class_1_3000","road_class_1_300","road_class_1_5000","road_class_1_500","road_class_1_50","road_class_2_1000","road_class_2_100","road_class_2_25","road_class_2_3000","road_class_2_300","road_class_2_5000","road_class_2_500","road_class_2_50","road_class_3_1000","road_class_3_100","road_class_3_25","road_class_3_3000","road_class_3_300","road_class_3_5000","road_class_3_500","road_class_3_50","temperature_2m_10","temperature_2m_11","temperature_2m_12","temperature_2m_1","temperature_2m_2","temperature_2m_3","temperature_2m_4","temperature_2m_5","temperature_2m_6","temperature_2m_7","temperature_2m_8","temperature_2m_9","trop_mean_filt","wind_speed_10m_10","wind_speed_10m_11","wind_speed_10m_12","wind_speed_10m_1","wind_speed_10m_2","wind_speed_10m_3","wind_speed_10m_4","wind_speed_10m_5","wind_speed_10m_6","wind_speed_10m_7","wind_speed_10m_8","wind_speed_10m_9","mean_value","urbantype","S5p_b_Aug","S5p_a_Aug","S5p_01","S5p_02","S5p_03","S5p_04","S5p_05","S5p_06","S5p_07","S5p_08","S5p_09","S5p_10","S5p_11","S5p_12"
"1",2.960464,1.089349,2.481067,0.573704,0.910668,1.253298,0,0,0,1530,0,359295,0,0,440.064819,3312.588867,8206.84375,0,0,0,10792.987305,0,31741.976562,0,0,0,0,0,0,0,130.558716,0,0,0,0,0,28314.40625,0,60863.476562,0,0,14.027731,7.809545,5.151045,2.037839,6.037295,9.130181,9.150001,15.245857,19.155416,18.698936,18.227871,14.704933,636.164856,4.381548,3.558765,4.437889,3.326515,4.202672,4.15639,3.288325,3.347359,3.915079,3.473112,2.966664,3.397882,15.0561383491522,2,9.13603950340226e-05,8.38450834523653e-05,8.4163216813138e-05,0.000119972489167295,9.33718895830518e-05,0.000140054466982631,9.04022302796092e-05,6.45199828311447e-05,5.61342184169991e-05,8.90927522508074e-05,5.9067708196756e-05,7.38212686970336e-05,8.46318213316722e-05,0.000106334636648256
"2",2.998879,3.230887,0.776905,1.807236,3.27938,-0.690162,237915,0,0,380205,18615,380205,73440,0,492.45871,3886.029297,5170.12207,0,0,0,0,0,0,0,0,1412.684082,0,0,11440.245117,0,18217.822266,0,0,5352.03125,0,0,62689.738281,374.136292,75216.851562,1569.326172,0,14.187791,8.581119,5.733756,2.725401,5.673937,8.658687,8.940303,14.566033,18.322552,18.35111,18.095675,14.847655,569.917786,6.320674,5.187909,6.136888,4.650394,5.707218,5.266993,4.387266,4.219216,4.981627,4.430753,4.049176,4.611426,14.5427898308166,2,8.13745060164773e-05,7.75976050527922e-05,7.45300402514504e-05,0.000115709743103783,7.37327705805631e-05,0.000116228087398647,8.71903129731967e-05,6.44994324469652e-05,4.90862103310333e-05,6.37527773455052e-05,5.41418902900396e-05,8.16432445094875e-05,8.26784482475862e-05,0.00010942890001323
"3",3.003269,15.185451,51.658539,49.109848,15.834966,1.97367,0,0,0,847620,0,4416600,0,0,3102.089111,23252.75,61342.878906,0,0,0,0,0,9744.513672,0,0,1869.710938,0,0,8812.506836,110.547173,18873.056641,1222.38916,0,12614.074219,0,0,38824.152344,465.240356,77248.414062,2501.188477,0,14.174484,8.695239,5.846949,2.782228,5.449903,8.447304,8.852376,14.382033,18.004015,18.194321,17.990791,14.828413,691.515625,6.540446,5.317981,6.207231,4.730088,5.77233,5.198254,4.464532,4.205428,4.968825,4.396253,4.097217,4.636786,28.104668338165,3,0.000103123148263104,0.00012389988944891,0.000107419445339474,0.000129917835849554,9.6072954845703e-05,0.000129252123018884,8.6742124715202e-05,9.14989586234153e-05,9.42637329092198e-05,0.000124475661545716,9.75098318941574e-05,0.000107888464566318,0.000162237002027546,0.00013764806928019
"4",2.983356,31.591223,108.899269,105.218941,41.687683,7.877421,15045,0,0,1602675,0,3731925,0,0,6142.983398,36911.640625,79492.710938,0,0,0,11797.124023,0,46626.230469,0,0,0,0,0,0,0,25224.466797,0,0,13942.574219,441.553955,91.946823,82291.882812,2672.11499,164851.234375,4714.199707,146.376831,14.083884,8.413713,5.591522,2.462384,5.440697,8.469668,8.80668,14.555529,18.184504,18.254551,17.958282,14.665065,698.576111,5.915279,4.725876,5.62497,4.246189,5.293065,4.822597,4.105578,3.904168,4.626059,4.042036,3.742742,4.212022,30.6238287366925,3,0.000112883818133161,0.000114858406027549,8.17982726014908e-05,0.000144089267464624,0.000105111073416451,0.000137468935218386,9.75461717327417e-05,0.00010016107028902,0.000104880833773366,0.000112691079350288,9.34171587468764e-05,9.50329613166555e-05,0.000151932239141829,0.000118500203392704
"5",2.988282,31.661768,24.22106,32.607677,34.17395,6.16568,11730,255,0,194055,7395,931005,8415,0,19552.472656,152638.75,322745,0,0,0,3832.431641,0,10873.864258,0,0,6303.990234,0,0,47392.144531,965.71051,83554.546875,1961.708984,0,60375.496094,761.351074,90.651947,440915.1875,4427.856445,903282.8125,13613.546875,196.531113,14.038208,8.37265,5.562256,2.3685,5.240417,8.300415,8.696289,14.410004,17.920044,18.098816,17.827393,14.58667,617.689026,6.080163,4.817459,5.645605,4.320222,5.371153,4.815842,4.214552,3.92483,4.629953,4.040438,3.776271,4.228816,23.80003823311,3,9.14587613417868e-05,0.00010046791288646,5.73746229075538e-05,0.000129100892638466,0.000108512928470562,0.000118243953412936,7.20174009296862e-05,8.27798497349628e-05,6.87703738041638e-05,8.95021069520098e-05,6.66999553365999e-05,6.66276943130915e-05,0.00017219583835873,0.00014548185554495
"6",2.980792,64.160179,27.444309,33.721405,59.249641,5.541442,4335,0,0,400860,0,1519800,0,0,19461.841797,145096.109375,330798.125,0,0,0,10364.708984,0,56493.007812,0,0,3393.403076,0,0,47594.074219,0,94313.085938,0,0,49984.414062,711.195862,124.243958,425772.5,5404.715332,953284.375,12862.296875,219.920532,14.038208,8.37265,5.562256,2.3685,5.240417,8.300415,8.696289,14.410004,17.920044,18.098816,17.827393,14.58667,621.717102,6.080163,4.817459,5.645605,4.320222,5.371153,4.815842,4.214552,3.92483,4.629953,4.040438,3.776271,4.228816,33.5179571392911,3,9.12955280468756e-05,9.61459712217531e-05,6.84741106327743e-05,0.000128400269859729,0.000108244743467785,0.000114417832072284,7.01027329021132e-05,8.33019641971673e-05,6.84951810290655e-05,9.0881745822841e-05,6.57711783443367e-05,6.53065525323136e-05,0.000172668637599304,0.00012063742724483
"7",2.925128,25.483059,29.945827,25.467686,24.533329,3.111895,126480,0,0,1738590,0,6135300,255,0,10618.644531,52978.027344,146503.875,3735.988281,0,0,22206.880859,0,85013.84375,0,0,0,0,0,0,0,198.242676,0,0,42565.746094,481.260193,77.84462,134134.921875,4605.375977,284990.8125,13432.260742,203.683197,13.965834,8.090379,5.332485,2.123844,5.394458,8.482115,8.766945,14.722016,18.338703,18.278593,17.938408,14.509159,700.017639,5.318415,4.165634,5.054909,3.789786,4.844625,4.454098,3.760812,3.617185,4.276114,3.680569,3.393606,3.803319,33.5237678954566,3,0.000118652085787181,0.000117903001174341,9.08363542106345e-05,0.000148802290581005,0.000111669702288074,0.000137478575901045,0.00010308526791594,0.000118418480467579,0.000110868387619215,0.000111454561345113,0.000104015576686618,9.08013779558818e-05,0.000156145015759478,0.000128909449222622
"8",2.914397,28.247986,30.990351,33.11982,29.391712,4.118045,1275,0,0,2503845,0,7319520,0,0,7604.581543,59320.914062,159878.65625,38.2052,0,0,42043.085938,0,72758.0625,0,0,3732.609375,0,0,11045.004883,144.447342,24065.431641,1703.744385,0,24568.261719,0,0,110291.242188,2283.377441,295246.84375,8241.416992,0,13.931131,7.995257,5.256382,2.024405,5.380963,8.486064,8.7556,14.771219,18.384262,18.285776,17.932806,14.463459,682.070557,5.142654,4.000917,4.887222,3.655586,4.712663,4.345725,3.659393,3.532868,4.173187,3.574309,3.290956,3.68317,26.4768846385998,3,0.000110828685312601,0.000105958618432333,7.52072104834216e-05,0.000136277923237366,9.75544428781307e-05,0.000135209647072987,0.00011150698708431,8.68620816333537e-05,0.000109939469481663,8.47274645739323e-05,0.000100551811821011,9.74251325115261e-05,0.000129954344672158,0.000124979563661212
"9",2.908548,5.795035,1.863462,3.095471,6.047546,17.490393,37740,0,0,181815,0,289425,0,0,910.610413,7357.052734,14482.106445,0,0,0,0,0,12575.552734,0,0,0,0,0,6560.641113,0,10889.712891,0,0,2620.393066,0,0,52288.96875,22.413157,102944.9375,178.956116,0,13.820949,7.426363,4.884685,1.651892,5.791596,8.84941,8.801686,15.275191,19.13636,18.521713,18.155283,14.407513,679.797058,4.387819,3.495,4.385399,3.26332,4.210354,4.061991,3.235762,3.252534,3.830123,3.299844,2.892608,3.352313,17.635028862843,2,9.26173573366797e-05,8.79055611552082e-05,7.31581872059905e-05,0.000145172822720779,9.22619486084952e-05,0.000128854516873891,7.77555353209756e-05,6.6448601657629e-05,6.03488091691413e-05,7.79533525643719e-05,5.99675599501083e-05,8.36677672983822e-05,9.59168939495123e-05,0.000114274129108778
"10",2.947209,35.110367,48.326908,32.087975,32.973431,0.213533,141270,1785,0,1159995,40545,2474010,113730,0,12157.306641,77009.453125,245327.65625,11602.306641,0,0,54286.882812,0,96745.46875,0,0,0,0,0,2880.264648,0,40107.804688,0,0,31933.105469,567.732605,68.010155,240385.9375,4393.72168,790462.25,11625.363281,140.887527,14.026112,8.322093,5.518636,2.321773,5.269849,8.338956,8.712271,14.466214,17.988701,18.126154,17.846529,14.571224,653.166626,5.925086,4.680709,5.519197,4.208791,5.263021,4.738793,4.121077,3.857999,4.553001,3.959929,3.693894,4.138081,26.2716548460008,3,9.31706220478383e-05,0.000102420455388769,5.76701654691515e-05,0.000136596150927963,0.000105611408404084,0.000108816501810875,7.48998434814734e-05,8.47276698210474e-05,7.15595328726357e-05,9.18348206715796e-05,6.98424843587217e-05,7.14291030032602e-05,0.00016119662673233,0.000128380925494743
