"","X","Longitude","Latitude","wkd_day_value","wnd_day_value","wkd_night_value","wnd_night_value","radiation","nightlight_450","nightlight_4950","nightlight_3150","nightlight_900","elevation","industry_1000","industry_100","industry_25","industry_3000","industry_300","industry_5000","industry_500","industry_50","population_1000","population_3000","population_5000","road_class_1_1000","road_class_1_100","road_class_1_25","road_class_1_3000","road_class_1_300","road_class_1_5000","road_class_1_500","road_class_1_50","road_class_2_1000","road_class_2_100","road_class_2_25","road_class_2_3000","road_class_2_300","road_class_2_5000","road_class_2_500","road_class_2_50","road_class_3_1000","road_class_3_100","road_class_3_25","road_class_3_3000","road_class_3_300","road_class_3_5000","road_class_3_500","road_class_3_50","temperature_2m_10","temperature_2m_11","temperature_2m_12","temperature_2m_1","temperature_2m_2","temperature_2m_3","temperature_2m_4","temperature_2m_5","temperature_2m_6","temperature_2m_7","temperature_2m_8","temperature_2m_9","trop_mean_filt","wind_speed_10m_10","wind_speed_10m_11","wind_speed_10m_12","wind_speed_10m_1","wind_speed_10m_2","wind_speed_10m_3","wind_speed_10m_4","wind_speed_10m_5","wind_speed_10m_6","wind_speed_10m_7","wind_speed_10m_8","wind_speed_10m_9","mean_value","Countrycode","AirQualityStation","Altitude","MeasurementType","AirQualityStationType","AirQualityStationArea","EquivalenceDemonstrated","MeasurementEquipment","InletHeight","BuildingDistance","KerbDistance","rf10f_pre","xgb10f_pre","lasso10f_pre","rf_all_pre","xgb_all_pre","lasso_all_pre","urbantype","urbantype_chara","Bui_500","Bui_200","rooftotal","ID","svfmin5m"
"1",1,3.749458,51.295278,15.4864469273743,11.5260994397759,16.8070457902511,15.5874046740467,2.960464,1.089349,2.481067,0.573704,0.910668,1.253298,0,0,0,1530,0,359295,0,0,440.064819,3312.588867,8206.84375,0,0,0,10792.987305,0,31741.976562,0,0,0,0,0,0,0,130.558716,0,0,0,0,0,28314.40625,0,60863.476562,0,0,14.027731,7.809545,5.151045,2.037839,6.037295,9.130181,9.150001,15.245857,19.155416,18.698936,18.227871,14.704933,636.164856,4.381548,3.558765,4.437889,3.326515,4.202672,4.15639,3.288325,3.347359,3.915079,3.473112,2.966664,3.397882,15.0561383491522,"NL","STA-NL00318",5,"automatic","background","rural","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo43w",4,-999,-999,13.7629892066123,15.3853845596313,13.7629892066123,15.7176662650108,15.3200588226318,13.713334253954,2,"suburban",0.0141111998442382,0.0716973607853329,90.29,"B1",0.922045340553415
"2",2,3.916947,51.635556,14.6973273441886,10.6940247252747,16.8982727725236,15.578925120773,2.998879,3.230887,0.776905,1.807236,3.27938,-0.690162,237915,0,0,380205,18615,380205,73440,0,492.45871,3886.029297,5170.12207,0,0,0,0,0,0,0,0,1412.684082,0,0,11440.245117,0,18217.822266,0,0,5352.03125,0,0,62689.738281,374.136292,75216.851562,1569.326172,0,14.187791,8.581119,5.733756,2.725401,5.673937,8.658687,8.940303,14.566033,18.322552,18.35111,18.095675,14.847655,569.917786,6.320674,5.187909,6.136888,4.650394,5.707218,5.266993,4.387266,4.219216,4.981627,4.430753,4.049176,4.611426,14.5427898308166,"NL","STA-NL00301",-1,"automatic","background","rural","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",4,-999,-999,12.3954611189794,15.6851711273193,12.3954611189794,15.1599197926521,15.0738391876221,13.0631135714677,2,"suburban",0.315080726435635,0.435662433928537,2262.56,"B2",0.800869362262631
"3",3,4.121389,51.978056,28.5770639616792,23.2646239554318,30.6000982800982,29.1842041312272,3.003269,15.185451,51.658539,49.109848,15.834966,1.97367,0,0,0,847620,0,4416600,0,0,3102.089111,23252.75,61342.878906,0,0,0,0,0,9744.513672,0,0,1869.710938,0,0,8812.506836,110.547173,18873.056641,1222.38916,0,12614.074219,0,0,38824.152344,465.240356,77248.414062,2501.188477,0,14.174484,8.695239,5.846949,2.782228,5.449903,8.447304,8.852376,14.382033,18.004015,18.194321,17.990791,14.828413,691.515625,6.540446,5.317981,6.207231,4.730088,5.77233,5.198254,4.464532,4.205428,4.968825,4.396253,4.097217,4.636786,28.104668338165,"NL","STA-NL00496",0,"automatic","industrial","rural","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API100E",3,-999,-999,17.1630665874644,17.1536064147949,17.1630665874644,24.8652554607391,26.4748344421387,17.1003742856777,3,"urban",0.000285071317243885,0.00016531813072724,12.25,"B3",1
"4",4,4.227778,51.931944,31.3352681039249,25.1350340136054,33.0907077515648,31.8770238095238,2.983356,31.591223,108.899269,105.218941,41.687683,7.877421,15045,0,0,1602675,0,3731925,0,0,6142.983398,36911.640625,79492.710938,0,0,0,11797.124023,0,46626.230469,0,0,0,0,0,0,0,25224.466797,0,0,13942.574219,441.553955,91.946823,82291.882812,2672.11499,164851.234375,4714.199707,146.376831,14.083884,8.413713,5.591522,2.462384,5.440697,8.469668,8.80668,14.555529,18.184504,18.254551,17.958282,14.665065,698.576111,5.915279,4.725876,5.62497,4.246189,5.293065,4.822597,4.105578,3.904168,4.626059,4.042036,3.742742,4.212022,30.6238287366925,"NL","STA-NL00495",0,"automatic","industrial","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",3,-999,-999,24.2839533705182,25.739465713501,24.2839533705182,28.7845633811951,30.2109241485596,24.6984179260959,3,"urban",0.390654912378176,0.343071720829562,1647.58,"B4",0.490642782834524
"5",5,4.289172,52.078056,23.6777397454031,19.9013578500707,26.0162354134957,26.6683984867591,2.988282,31.661768,24.22106,32.607677,34.17395,6.16568,11730,255,0,194055,7395,931005,8415,0,19552.472656,152638.75,322745,0,0,0,3832.431641,0,10873.864258,0,0,6303.990234,0,0,47392.144531,965.71051,83554.546875,1961.708984,0,60375.496094,761.351074,90.651947,440915.1875,4427.856445,903282.8125,13613.546875,196.531113,14.038208,8.37265,5.562256,2.3685,5.240417,8.300415,8.696289,14.410004,17.920044,18.098816,17.827393,14.58667,617.689026,6.080163,4.817459,5.645605,4.320222,5.371153,4.815842,4.214552,3.92483,4.629953,4.040438,3.776271,4.228816,23.80003823311,"NL","STA-NL00404",2,"automatic","background","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",3,-999,-999,40.9341949938095,26.571985244751,40.9341949938095,27.9806135139465,23.9737548828125,40.9833892509296,3,"urban",0.216663560913355,0.177343235460787,943.59,"B5",0.882461752191529
"6",6,4.316125,52.075,36.301097832129,30.7588826025459,30.6981079691517,32.1700256739409,2.980792,64.160179,27.444309,33.721405,59.249641,5.541442,4335,0,0,400860,0,1519800,0,0,19461.841797,145096.109375,330798.125,0,0,0,10364.708984,0,56493.007812,0,0,3393.403076,0,0,47594.074219,0,94313.085938,0,0,49984.414062,711.195862,124.243958,425772.5,5404.715332,953284.375,12862.296875,219.920532,14.038208,8.37265,5.562256,2.3685,5.240417,8.300415,8.696289,14.410004,17.920044,18.098816,17.827393,14.58667,621.717102,6.080163,4.817459,5.645605,4.320222,5.371153,4.815842,4.214552,3.92483,4.629953,4.040438,3.776271,4.228816,33.5179571392911,"NL","STA-NL00445",4,"automatic","traffic","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/andersenFH62IR",3,6,1,44.8521060193418,33.5810546875,44.8521060193418,34.1657530002594,33.2481880187988,44.5315788651318,3,"urban",0.00951602628553373,0.0273043500927763,44.55,"B6",1
"7",7,4.326953,51.911389,36.0099806843267,25.5526802721088,35.1336372501219,33.010205811138,2.925128,25.483059,29.945827,25.467686,24.533329,3.111895,126480,0,0,1738590,0,6135300,255,0,10618.644531,52978.027344,146503.875,3735.988281,0,0,22206.880859,0,85013.84375,0,0,0,0,0,0,0,198.242676,0,0,42565.746094,481.260193,77.84462,134134.921875,4605.375977,284990.8125,13432.260742,203.683197,13.965834,8.090379,5.332485,2.123844,5.394458,8.482115,8.766945,14.722016,18.338703,18.278593,17.938408,14.509159,700.017639,5.318415,4.165634,5.054909,3.789786,4.844625,4.454098,3.760812,3.617185,4.276114,3.680569,3.393606,3.803319,33.5237678954566,"NL","STA-NL00433",-1,"automatic","traffic","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",3,3,3,30.7037181876212,28.2535228729248,30.7037181876212,32.4363132276535,33.3109092712402,31.0524186975611,3,"urban",0.327609767132586,0.367109268946722,3577.83,"B7",0.532903561380796
"8",8,4.35527754,51.86610794,28.0764153548743,21.2475510204082,27.8346153846154,25.5435714285714,2.914397,28.247986,30.990351,33.11982,29.391712,4.118045,1275,0,0,2503845,0,7319520,0,0,7604.581543,59320.914062,159878.65625,38.2052,0,0,42043.085938,0,72758.0625,0,0,3732.609375,0,0,11045.004883,144.447342,24065.431641,1703.744385,0,24568.261719,0,0,110291.242188,2283.377441,295246.84375,8241.416992,0,13.931131,7.995257,5.256382,2.024405,5.380963,8.486064,8.7556,14.771219,18.384262,18.285776,17.932806,14.463459,682.070557,5.142654,4.000917,4.887222,3.655586,4.712663,4.345725,3.659393,3.532868,4.173187,3.574309,3.290956,3.68317,26.4768846385998,"NL","STA-NL00485",1,"automatic","industrial","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API100E",3,-999,-999,26.9302906310516,25.3536891937256,26.9302906310516,26.6891223707199,26.2443618774414,26.5418330885045,3,"urban",0.416060441818411,0.565221480499199,3930.01,"B8",0.984848532538298
"9",9,4.360286,51.435,18.4743059805285,13.8039319727891,18.8791164658635,17.9906180469716,2.908548,5.795035,1.863462,3.095471,6.047546,17.490393,37740,0,0,181815,0,289425,0,0,910.610413,7357.052734,14482.106445,0,0,0,0,0,12575.552734,0,0,0,0,0,6560.641113,0,10889.712891,0,0,2620.393066,0,0,52288.96875,22.413157,102944.9375,178.956116,0,13.820949,7.426363,4.884685,1.651892,5.791596,8.84941,8.801686,15.275191,19.13636,18.521713,18.155283,14.407513,679.797058,4.387819,3.495,4.385399,3.26332,4.210354,4.061991,3.235762,3.252534,3.830123,3.299844,2.892608,3.352313,17.635028862843,"NL","STA-NL00235",18,"automatic","background","rural","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/andersenFH62IR",3,-999,-999,15.0317473222983,18.4423675537109,15.0317473222983,17.6303604927063,18.11643409729,14.2509969440771,2,"suburban",0.443108018648162,0.48374567815183,7957.14,"B9",0.724808014824259
"10",10,4.360564,52.039722,27.3104966887418,21.279278779473,28.0080512820514,26.7212066752246,2.947209,35.110367,48.326908,32.087975,32.973431,0.213533,141270,1785,0,1159995,40545,2474010,113730,0,12157.306641,77009.453125,245327.65625,11602.306641,0,0,54286.882812,0,96745.46875,0,0,0,0,0,2880.264648,0,40107.804688,0,0,31933.105469,567.732605,68.010155,240385.9375,4393.72168,790462.25,11625.363281,140.887527,14.026112,8.322093,5.518636,2.321773,5.269849,8.338956,8.712271,14.466214,17.988701,18.126154,17.846529,14.571224,653.166626,5.925086,4.680709,5.519197,4.208791,5.263021,4.738793,4.121077,3.857999,4.553001,3.959929,3.693894,4.138081,26.2716548460008,"NL","STA-NL00446",-2,"automatic","background","suburban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",3,-999,-999,35.5280450406924,36.821159362793,35.5280450406924,30.0513768386841,26.9469108581543,34.449831535337,3,"urban",0.332885229884584,0.440817985979963,6710.42,"B10",0.567865868069519
