"","Longitude","Latitude","wkd_day_value","wnd_day_value","wkd_night_value","wnd_night_value","mean_value","radiation","nightlight_450","nightlight_4950","nightlight_3150","nightlight_900","elevation","industry_1000","industry_100","industry_25","industry_3000","industry_300","industry_5000","industry_500","industry_50","population_1000","population_3000","population_5000","road_class_1_1000","road_class_1_100","road_class_1_25","road_class_1_3000","road_class_1_300","road_class_1_5000","road_class_1_500","road_class_1_50","road_class_2_1000","road_class_2_100","road_class_2_25","road_class_2_3000","road_class_2_300","road_class_2_5000","road_class_2_500","road_class_2_50","road_class_3_1000","road_class_3_100","road_class_3_25","road_class_3_3000","road_class_3_300","road_class_3_5000","road_class_3_500","road_class_3_50","temperature_2m_10","temperature_2m_11","temperature_2m_12","temperature_2m_1","temperature_2m_2","temperature_2m_3","temperature_2m_4","temperature_2m_5","temperature_2m_6","temperature_2m_7","temperature_2m_8","temperature_2m_9","TROP_2018","wind_speed_10m_10","wind_speed_10m_11","wind_speed_10m_12","wind_speed_10m_1","wind_speed_10m_2","wind_speed_10m_3","wind_speed_10m_4","wind_speed_10m_5","wind_speed_10m_6","wind_speed_10m_7","wind_speed_10m_8","wind_speed_10m_9","trop_mean_filt_2019"
"1",-0.02611111,39.98888888,19.5195548489666,12.385408406027,22.6372549019608,19.7758369723435,18.9273871699174,4.639214,102.27037,32.456802,43.003853,95.143303,20.525326,426250,0,0,1010625,0,5488750,47500,0,15409.697266,67987.78125,155870.25,0,0,0,11004.185547,0,64560.601562,0,0,0,0,0,1292.7677,0,8097.825195,0,0,53087.421875,524.218323,76.295151,228519.21875,5539.733398,447555.78125,14008.576172,157.87558,19.471096,13.760981,10.666977,9.215874,11.287505,13.197865,14.823858,19.266174,23.790476,25.111128,25.272919,21.580141,283.299896,1.91535,2.763223,3.013601,3.42045,3.039829,2.62555,2.501144,2.409491,2.282031,2.378838,2.314202,2.563393,5.21653e-05
"2",-0.03611111,39.95916666,28.5524087591241,15.5899333826795,35.6768990634755,29.0156657963446,27.8237927634298,4.658104,3.565572,33.895576,35.63723,4.027868,16.771231,0,0,0,2548125,0,7881875,0,0,200.425354,49394.21875,145167.40625,5838.905273,0,0,20002.003906,794.477844,40092.324219,1913.26062,0,0,0,0,7173.367676,0,14725.835938,0,0,1884.513184,0,0,170703.84375,0,443772.53125,0,0,19.418146,13.70339,10.609291,9.161616,11.271783,13.17127,14.789422,19.233883,23.792564,25.094337,25.245277,21.548061,289.130371,1.914834,2.73855,3.041733,3.411296,3.049127,2.63579,2.491576,2.406814,2.269617,2.369093,2.29786,2.544167,5.04719e-05
"3",-0.038889,43.096944,15.7528893780958,11.4027891156462,9.90985576923076,9.7200477326969,12.9585440264329,3.538016,38.246983,3.891135,8.508445,33.56852,399.619965,56875,0,0,131875,12500,233750,43750,0,5619.026367,13838.792969,17759.962891,0,0,0,2977.39502,0,8287.207031,0,0,4947.632812,0,0,11142.445312,0,15771.989258,610.720886,0,32067.90625,612.101318,128.959122,91899.570312,4212.315918,168634.578125,9835.663086,278.191376,13.630295,6.149846,3.634574,1.827669,6.233299,8.566154,9.710193,15.024111,18.550663,18.571444,18.678303,13.990645,128.715317,1.426435,1.732865,1.775031,1.518119,1.799867,1.649771,1.56433,1.579455,1.489293,1.383415,1.324319,1.524692,2.11035e-05
"4",-0.042155,51.52253,55.9160887656033,43.2165892002734,41.7283437952679,42.2491875746714,48.8174923134671,2.80415,62.251656,71.579491,73.656395,62.579819,16.00947,6250,0,0,1093125,0,3277500,0,0,39447.796875,261618.34375,671979.75,2464.912842,181.49408,64.436508,47508.5625,606.115845,83817.507812,1048.0354,103.62323,2745.531982,0,0,34540.558594,0,127953.796875,0,0,42334.589844,135.245911,31.316196,283330.90625,3414.520996,781306.4375,11134.381836,66.03949,13.007204,7.102829,4.992413,3.127259,6.591636,9.060138,9.737888,13.908584,17.562368,17.975121,16.771648,14.300414,819.259216,4.063011,3.408717,3.953887,2.834702,4.059896,4.000256,3.015496,3.295402,3.614655,3.344394,3.043967,3.335389,0.000144143
"5",-0.051944,43.094997,24.9948481238833,21.5646971935008,10.8707912904939,11.026868556701,19.6483315989861,3.532274,42.894127,3.790106,8.273465,34.511139,392.544189,6875,0,0,122500,0,220625,1875,0,5234.565918,13403.927734,17434.664062,0,0,0,3482.118164,0,9118.026367,0,0,2003.502808,0,0,11291.637695,0,15672.555664,0,0,29577.582031,732.210571,48.671448,93164.09375,4287.342773,159579.15625,10553.62207,179.940292,13.606734,6.1212,3.594549,1.80368,6.189939,8.528528,9.685498,15.002413,18.532093,18.551695,18.657375,13.964735,127.622383,1.412869,1.712564,1.755094,1.502218,1.784526,1.633857,1.550118,1.563594,1.47303,1.367529,1.309446,1.507153,2.08266e-05
"6",-0.05638888,39.94527777,18.4823825503356,12.3331020124913,43.4126669965364,32.0171358629131,24.5358971553252,4.661942,47.110107,27.586994,20.090652,38.965488,29.813591,0,0,0,2368750,0,7448125,0,0,4186.812988,26910.695312,120336.617188,0,0,0,15695.693359,0,35874.867188,0,0,4170.46582,0,0,11600.495117,1145.244385,20034.15625,2045.32373,0,34206.335938,580.123413,164.507294,107035.40625,3926.943604,396700.96875,10076.202148,278.524231,19.353657,13.633258,10.539046,9.095538,11.25275,13.138916,14.747493,19.194515,23.79516,25.073885,25.211588,21.509054,296.875732,1.91424,2.708422,3.076211,3.400204,3.060588,2.648382,2.479947,2.403613,2.254516,2.357259,2.277972,2.520752,4.7099e-05
"7",-0.05722222,40.01277777,10.1856304165502,6.79689703808181,8.59861591695502,7.53028430160692,8.90940669075325,4.594011,9.895662,23.009882,21.221891,10.328813,88.857651,0,0,0,403125,0,3096875,0,0,2219.488281,38906.355469,109150.3125,5539.033691,0,0,27382.478516,0,69355.796875,0,0,0,0,0,3585.260742,0,14869.041016,0,0,10824.189453,0,0,136307.3125,5.218883,368718.9375,2738.124512,0,19.120981,13.353095,10.236234,8.819594,10.987423,12.942011,14.56422,19.087406,23.691843,24.972202,25.105198,21.261877,291.534027,1.87277,2.733729,2.920591,3.308228,2.928813,2.539579,2.423656,2.326114,2.193059,2.284989,2.208114,2.453552,5.28186e-05
"8",-0.05955,51.480499,50.3319675860109,37.1342192921582,34.6738233843118,33.8178640776699,42.5172094336019,2.811065,65.692764,58.408077,54.593422,64.354416,5.446499,434375,0,0,1203125,48125,1888125,199375,0,27458.875,249187.15625,621990.625,4582.290527,198.822403,58.095406,18513.40625,626.803589,81223.835938,1316.956055,87.424667,1237.994141,0,0,32723.966797,0,108232.054688,0,0,39315.261719,124.827736,0,330843.09375,1827.215332,813874,8191.051758,52.436699,12.963427,7.047778,4.942183,3.083865,6.544493,9.017148,9.673483,13.852985,17.503757,17.928091,16.709276,14.231763,779.304443,4.042166,3.383611,3.940018,2.827721,4.053818,3.997471,2.991998,3.288555,3.596264,3.34561,3.030571,3.327905,0.000127499
"9",-0.065,39.89222222,9.89292649098474,7.22330097087379,14.7413541159279,11.5867970660147,10.7001349288101,4.658333,1.559054,5.33997,5.683859,2.167604,5.45259,0,0,0,261250,0,1608125,0,0,768.292053,22723.435547,37404.15625,0,0,0,0,0,9064.328125,0,0,0,0,0,9781.131836,0,19617.316406,0,0,3125.946777,187.826874,0,93216.242188,600.952454,146648.3125,1012.609192,19.68713,19.534983,13.850812,10.765696,9.298079,11.478543,13.283197,14.879551,19.244576,23.85825,25.122156,25.268265,21.713438,284.666473,1.968909,2.685986,3.291646,3.515927,3.225997,2.7881,2.550378,2.501952,2.330544,2.44441,2.360576,2.59663,4.08891e-05
"10",-0.068218,51.5993,44.4821638074155,36.3849523809523,34.8920694789082,35.7423456790123,39.8241183976443,2.8,68.834,35.517254,37.986729,59.401386,15.439692,96250,0,0,1921875,0,3390625,0,0,26227.021484,187820.9375,536014.0625,1716.760742,0,0,28470.847656,0,51268.332031,481.090515,0,3186.780273,268.817413,75.118599,31801.056641,871.378357,88817.0625,1500.072388,110.076859,40621.671875,266.627319,27.341139,287826.15625,3788.006104,790092.75,10324.210938,52.341614,12.982241,7.163435,5.047134,3.206761,6.575789,9.040268,9.688627,13.843833,17.466089,17.870428,16.707035,14.269427,808.567444,4.149338,3.501115,4.035823,2.892929,4.131351,4.059383,3.093018,3.353582,3.67943,3.387185,3.103759,3.398485,0.000124704
